case_id,dimension,sub_type,format_type,schema_valid,format_match,service_match,urgent_match,confirmed_match,steering_match,overall_success,suggest_priority,workers_recommended,mean_latency_us,p50_latency_us,p90_latency_us,p99_latency_us
1,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,4.092,3.6,4.0,15.427
2,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.594,3.5,3.7,4.526
3,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.563,3.5,3.71,4.307
4,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.721,3.6,3.7,5.316
5,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,9.147,8.6,9.01,20.927
6,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,8.675,8.6,8.9,10.522
7,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,8.734,8.5,8.9,11.902
8,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,8.594,8.5,8.9,9.723
9,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.568,3.5,3.7,3.913
10,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.319,3.25,3.6,4.401
11,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.267,3.2,3.4,3.901
12,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.28,3.3,3.4,3.709
13,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,4.88,4.7,5.51,7.815
14,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,8.468,8.0,8.51,14.458
15,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,7.945,7.9,8.1,9.222
16,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,8.659,8.0,11.62,15.205
17,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.361,3.2,3.5,4.661
18,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.299,3.3,3.5,3.708
19,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,7.915,7.85,8.11,8.721
20,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.738,3.3,3.6,9.014
21,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.28,3.2,3.4,4.226
22,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.232,3.2,3.3,3.506
23,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.919,3.2,7.7,8.0
24,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,8.022,7.8,8.11,13.232
25,Format_Resilience,Raw_JSON,raw_json,True,True,True,True,True,True,True,False,True,3.253,3.2,3.3,3.505
26,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,4.14,3.7,4.1,9.306
27,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,9.176,9.0,9.4,14.444
28,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,10.501,8.9,9.4,36.99
29,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,5.06,4.2,6.1,18.475
30,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,3.843,3.8,4.0,5.123
31,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,3.949,3.75,4.0,6.505
32,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,8.897,9.1,9.9,15.802
33,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,9.513,9.1,9.6,18.896
34,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,9.332,9.2,9.9,10.34
35,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,9.241,9.1,9.51,13.138
36,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,9.029,9.0,9.4,12.604
37,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,3.851,3.7,4.0,6.138
38,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,3.838,3.8,3.9,5.346
39,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,3.802,3.8,4.0,4.109
40,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,9.007,8.9,9.3,12.511
41,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,8.844,8.8,9.2,12.125
42,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,12.244,3.8,9.2,103.873
43,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,5.986,5.55,7.9,11.861
44,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,3.884,3.8,4.0,4.833
45,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,5.0,3.8,4.2,10.439
46,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,3.805,3.7,4.0,4.712
47,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,3.769,3.7,3.9,4.307
48,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,3.789,3.7,4.0,4.312
49,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,3.994,3.9,4.4,5.209
50,Format_Resilience,Markdown_Fenced_JSON,markdown_fenced,True,True,True,True,True,True,True,True,False,3.783,3.8,4.0,4.305
51,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,9.492,9.3,9.9,16.147
52,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,9.49,9.2,9.81,13.083
53,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,9.48,9.3,9.8,12.599
54,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,9.356,9.3,9.81,10.71
55,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,8.598,8.5,8.9,10.409
56,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,3.926,3.8,4.01,4.952
57,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,3.821,3.8,4.0,4.209
58,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,5.433,3.8,4.1,56.031
59,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,4.224,4.2,4.7,5.306
60,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,4.113,4.0,4.6,5.801
61,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,4.014,3.8,4.2,4.999
62,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,5.726,3.95,8.71,9.66
63,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,8.75,8.5,8.91,11.911
64,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,8.45,8.4,8.8,9.518
65,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,9.684,9.1,9.5,15.946
66,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,4.86,3.8,9.4,12.105
67,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,3.779,3.8,3.9,4.207
68,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,3.812,3.8,4.0,4.508
69,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,6.805,8.8,9.31,13.111
70,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,9.19,9.1,9.5,10.115
71,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,9.501,9.2,9.9,14.861
72,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,9.437,9.2,9.91,14.808
73,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,11.159,9.2,9.7,22.084
74,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,6.678,4.2,8.25,39.826
75,Format_Resilience,Plain_Text_Fallback,parse_error,True,True,True,True,True,True,True,False,False,4.319,4.1,4.81,7.805
76,Format_Resilience,Malformed_JSON,parse_error,True,True,True,True,True,True,True,False,False,6.365,4.6,10.61,15.943
77,Format_Resilience,Malformed_JSON,parse_error,True,True,True,True,True,True,True,False,False,11.424,11.1,12.0,18.668
78,Format_Resilience,Malformed_JSON,parse_error,True,True,True,True,True,True,True,False,False,10.129,9.7,10.71,15.925
79,Format_Resilience,Malformed_JSON,parse_error,True,True,True,True,True,True,True,False,False,11.386,11.3,11.71,12.738
80,Format_Resilience,Malformed_JSON,parse_error,True,True,True,True,True,True,True,False,False,9.978,5.25,11.1,81.747
